predictor,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
Bimodal,0,401.bzip2-277B,1.0747,9304927,97.2792,4.2577,22.3726,77.6274,424350,0,0.0,100.0,0,0,65.3436,34.6564,12549,13979,15.228,84.772,7020,7556,14576
Bimodal,0,403.gcc-16B,1.16618,8575039,99.5671,0.8526,74.4849,25.5151,569360,0,0.0296,99.9704,0,0,50.2166,49.7834,487359,489074,0.2018,99.7982,487121,488681,975802
Bimodal,0,456.hmmer-327B,1.48055,6754237,99.6709,0.1402,1.3867,98.6133,565387,0,0.0,100.0,0,0,38.7935,61.2065,26619,26604,49.4624,50.5376,26615,25897,52512
Bimodal,0,605.mcf_s-665B,0.381853,26188101,89.1088,27.2101,11.4473,88.5527,1068597,0,0.0,100.0,0,0,65.6106,34.3894,38648,55022,32.5114,67.4886,29094,38954,68048
Bullseye,0,401.bzip2-277B,1.11863,8939537,98.3295,2.6142,22.3919,77.6081,423948,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
Bullseye,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
Bullseye,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
Bullseye,0,605.mcf_s-665B,0.412974,24214615,93.1128,17.2068,11.6633,88.3367,1067068,0,0.0,100.0,0,0,65.6065,34.3935,38646,55025,32.5141,67.4859,29089,38951,68040
Bullseye_Adaptive,0,401.bzip2-277B,1.1186,8939746,98.3285,2.6157,22.3918,77.6082,423948,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
Bullseye_Adaptive,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
Bullseye_Adaptive,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
Bullseye_Adaptive,0,605.mcf_s-665B,0.413028,24211439,93.1182,17.1933,11.6634,88.3366,1067062,0,0.0,100.0,0,0,65.6068,34.3932,38645,55024,32.5141,67.4859,29089,38951,68040
GShare,0,401.bzip2-277B,1.08148,9246548,97.4741,3.9527,22.3698,77.6302,424222,0,0.0,100.0,0,0,65.3443,34.6557,12549,13979,15.228,84.772,7020,7556,14576
GShare,0,403.gcc-16B,1.17211,8531632,99.7002,0.5905,74.7754,25.2246,569306,0,0.0296,99.9704,0,0,50.218,49.782,487322,489047,0.2018,99.7982,487112,488654,975766
GShare,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
GShare,0,605.mcf_s-665B,0.390342,25618591,91.7704,20.5604,11.5588,88.4412,1067906,0,0.0,100.0,0,0,65.6089,34.3911,38645,55021,32.5138,67.4862,29093,38953,68046
Hashed_Perceptron,0,401.bzip2-277B,1.11886,8937667,98.3304,2.6127,22.3917,77.6083,423951,0,0.0,100.0,0,0,65.3456,34.6544,12549,13979,15.228,84.772,7020,7556,14576
Hashed_Perceptron,0,403.gcc-16B,1.1871,8423908,99.8932,0.2104,75.2608,24.7392,569093,0,0.0294,99.9706,0,0,50.2179,49.7821,487320,489048,0.2018,99.7982,487110,488655,975765
Hashed_Perceptron,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
Hashed_Perceptron,0,605.mcf_s-665B,0.412829,24223082,93.0967,17.2468,11.6631,88.3369,1067074,0,0.0,100.0,0,0,65.6065,34.3935,38646,55025,32.5141,67.4859,29089,38951,68040
Perceptron,0,401.bzip2-277B,1.11202,8992635,98.1259,2.9328,22.3895,77.6105,423988,0,0.0,100.0,0,0,65.3447,34.6553,12549,13979,15.228,84.772,7020,7556,14576
Perceptron,0,403.gcc-16B,1.17413,8516934,99.7009,0.5891,74.864,25.136,569211,0,0.0295,99.9705,0,0,50.218,49.782,487325,489047,0.2018,99.7982,487114,488654,975768
Perceptron,0,456.hmmer-327B,1.48189,6748146,99.7805,0.0935,1.387,98.613,565338,0,0.0,100.0,0,0,38.794,61.206,26618,26603,49.4624,50.5376,26615,25897,52512
Perceptron,0,605.mcf_s-665B,0.404744,24706986,92.5004,18.7367,11.6187,88.3813,1067145,0,0.0,100.0,0,0,65.6084,34.3916,38643,55022,32.5144,67.4856,29089,38950,68039
