policy,size_mb,trace,ipc,l1d_miss,l2_miss,llc_miss,llc_hit,llc_writes,cycles,sim_sec
random,1,401.bzip2-277B,0.670655,22.4218,65.2679,59.988,40.012,14552,14910794,11
random,1,403.gcc-16B,1.18696,75.2614,50.2179,0.208,99.792,975765,8424859,9
random,1,456.hmmer-327B,1.39467,1.3879,38.5433,54.9336,45.0664,52541,7170132,16
random,1,605.mcf_s-665B,0.311658,11.6657,65.5796,59.0276,40.9724,67935,32086470,14
random,2,401.bzip2-277B,0.869817,22.4118,65.2652,28.8845,71.1155,14554,11496676,10
random,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,2,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,15
random,2,605.mcf_s-665B,0.352309,11.6637,65.5729,44.8882,55.1118,68011,28384187,13
random,4,401.bzip2-277B,1.11833,22.3916,65.266,15.2461,84.7539,14554,8941894,9
random,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,4,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,16
random,4,605.mcf_s-665B,0.3916,11.663,65.5828,35.9402,64.0598,67975,25536240,13
random,8,401.bzip2-277B,1.11833,22.3916,65.266,15.2461,84.7539,14554,8941894,9
random,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
random,8,456.hmmer-327B,1.48428,1.3868,38.5433,49.6059,50.3941,52541,6737253,15
random,8,605.mcf_s-665B,0.423629,11.6632,65.593,31.2588,68.7412,68084,23605555,12
ship,1,401.bzip2-277B,0.688435,22.4188,65.2509,59.5325,40.4675,14396,14525701,11
ship,1,403.gcc-16B,1.18704,75.262,50.2186,0.2023,99.7977,975775,8424342,9
ship,1,456.hmmer-327B,1.40236,1.388,38.4214,71.447,28.553,52538,7130812,15
ship,1,605.mcf_s-665B,0.349062,11.6617,65.6788,43.461,56.539,67967,28648169,13
ship,2,401.bzip2-277B,0.950454,22.4029,65.2568,24.5146,75.4854,14430,10521291,9
ship,2,403.gcc-16B,1.18773,75.2616,50.2187,0.2018,99.7982,975781,8419458,10
ship,2,456.hmmer-327B,1.47323,1.3873,38.0643,49.9113,50.0887,52563,6787823,15
ship,2,605.mcf_s-665B,0.389543,11.6625,65.5862,35.79,64.21,67972,25671126,12
ship,4,401.bzip2-277B,1.11832,22.3917,65.3057,15.2436,84.7564,14452,8942008,9
ship,4,403.gcc-16B,1.18682,75.2608,50.2215,0.2018,99.7982,975831,8425889,9
ship,4,456.hmmer-327B,1.48131,1.3868,38.5407,49.6068,50.3932,52540,6750776,15
ship,4,605.mcf_s-665B,0.419452,11.6631,65.5983,31.7391,68.2609,68013,23840639,12
ship,8,401.bzip2-277B,1.11858,22.3929,65.3442,15.2237,84.7763,14669,8939878,9
ship,8,403.gcc-16B,1.18775,75.2611,50.218,0.2018,99.7982,975767,8419284,9
ship,8,456.hmmer-327B,1.48295,1.3871,38.0677,49.903,50.097,52568,6743302,15
ship,8,605.mcf_s-665B,0.4252,11.6633,65.5782,31.1131,68.8869,67906,23518349,13
srrip,1,401.bzip2-277B,0.681508,22.4192,65.3469,59.0872,40.9128,14576,14673342,11
srrip,1,403.gcc-16B,1.1871,75.2608,50.2179,0.2026,99.7974,975765,8423908,9
srrip,1,456.hmmer-327B,1.40508,1.3878,38.794,58.8449,41.1551,52512,7117052,15
srrip,1,605.mcf_s-665B,0.353765,11.6614,65.6075,44.144,55.856,68040,28267378,13
srrip,2,401.bzip2-277B,0.906648,22.4086,65.3456,27.0983,72.9017,14576,11029634,10
srrip,2,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
srrip,2,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,15
srrip,2,605.mcf_s-665B,0.390195,11.6624,65.6068,35.9694,64.0306,68038,25628230,13
srrip,4,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
srrip,4,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,10
srrip,4,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
srrip,4,605.mcf_s-665B,0.415812,11.6631,65.6071,32.129,67.871,68040,24049326,13
srrip,8,401.bzip2-277B,1.11886,22.3917,65.3456,15.228,84.772,14576,8937667,9
srrip,8,403.gcc-16B,1.1871,75.2608,50.2179,0.2018,99.7982,975765,8423908,9
srrip,8,456.hmmer-327B,1.48189,1.387,38.794,49.4624,50.5376,52512,6748146,16
srrip,8,605.mcf_s-665B,0.425325,11.6633,65.6071,31.0802,68.9198,68040,23511419,12
