assoc,core,trace,IPC,cycles,accuracy,MPKI,L1D_miss%,L1D_hit%,L1D_rfo,L1D_writeback,L1I_miss%,L1I_hit%,L1I_rfo,L1I_writeback,L2C_miss%,L2C_hit%,L2C_rfo,L2C_writeback,LLC_miss%,LLC_hit%,LLC_rfo,LLC_writeback,LLC_writes
8way,0,619.lbm_s-3766B,0.828279,12073228,99.8986,0.0105369,15.1321,84.8679,1484967,0,0.0,100.0,0,0,40.4354,59.5646,299320,299317,45.1261,54.8739,210224,210109,420333
8way,1,403.gcc-16B,1.16557,8579488,99.9454,0.106611,75.6458,24.3542,572114,0,0.0288,99.9712,0,0,49.4679,50.5321,491327,492986,45.1261,54.8739,210224,210109,420333
8way,2,401.bzip2-277B,1.01731,9829837,93.7557,10.0392,22.1658,77.8342,426121,0,0.0,100.0,0,0,64.1169,35.8831,12595,14087,45.1261,54.8739,210224,210109,420333
8way,3,620.omnetpp_s-874B,0.274802,36389858,98.1756,3.7869,4.7797,95.2203,1782571,0,0.1689,99.8311,0,0,47.7697,52.2303,24611,95616,45.1261,54.8739,210224,210109,420333
